coin_name,price,rank,market_cap,website
ordi,36.99,104,776.73,ordiscan.com
Wojak Coin,0.000415,576,28.80,linktr.ee
piza,0.503,688,10.56,btcpizza.io
PEPE,0.187,"1,052",7.86,ordiscan.com
TCAP BRC,0.0181,"1,943",1.81 billion,unisat.io
SATS BRC,0.0₄0265,"2,076",555.92,ordspace.org
PUPS,20.12,"2,335",156.33,ordiscan.com
RATS BRC,0.000130,"2,392",129.67,unisat.io
WZRD,4.49,"2,487",94.25,ordiscan.com
TRIO BRC,1.99,"2,794",41.83,unisat.io
trac BRC,1.93,"2,806",40.59,rarity.garden
Orange Crypto BRC,0.231,"3,066",23.08,orangecrypto.com
PIIN BRC,0.000228,"3,075",22.78,unisat.io
ZBIT,0.752,"3,276",15.78,unisat.io
TEXO BRC,0.0242,"3,427",12.36,texo.live
GHSY BRC,0.363,"3,450",12.10,ghosty.cash
ETGM BRC,0.0000543,"3,500",11.40,etgm.io
20EX BRC,0.478,"3,577",10.03,20ex.io
LFG,0.0228,"3,609",9.60,lfg.cash
.COM BRC,0.419,"3,659",8.81,brc20.com
AINN,0.404,"3,678",8.48,ainn.xyz
BTCs BRC,0.352,"3,767",7.39,unisat.io
MICE BRC,0.00668,"3,836",6.68,brc20mice
VOYA BRC,0.666,"3,839",6.66,merlinswap.org
BIDP BRC,0.00657,"3,853",6.57,bidprotocol.io
LIGO BRC,0.0₃0603,"3,908",6.03,ligo.network
BD20 BRC,0.00576,"3,937",5.76,unisat.io
Turtsat BRC,0.00545,"3,983",5.45,turtsat.io
RDEX BRC,0.0362,"4,294",3.62,unisat.io
CATS BRC,0.00165,"4,323",3.46,unisat.io
O4DX BRC,0.0341,"4,335",3.41,unisat.io
Vmpx,0.0300,"4,369",3.26,vmpx.io
MEME BRC,32.35,"4,415",3.04,memesonbitcoin.com
CSAS BRC,0.00303,"4,418",3.03,comsats.io
NOOT,0.00303,"4,419",3.03,ordiscan.com
insc,0.135,"4,473",2.83,ordiscan.com
NALS,0.126,"4,528",2.65,ordiscan.com
DOVI BRC,0.170,"4,560",2.55,dovil2.com
PLAY BRC,0.0000117,"4,587",2.46,unisat.io
1ON8 BRC,0.268,"4,616",2.38,1on8.io
ROUP BRC,0.000990,"4,718",2.08,rolluper.xyz
BNSx BRC,0.0935,"4,758",1.96,unisat.io
$BMP BRC,0.00189,"4,777",1.89,unisat.io
ORDS,0.0889,"4,787",1.87,ordiscan.com
MIMIC SHHANS,0.0883,"4,792",1.85,mmss.space
BIOP,0.0867,"4,804",1.82,biop.io
DOMO BRC,0.0817,"4,858",1.72,ordspace.org
Chamcha,0.000817,"4,859",1.72,chamcha.io
BISO,0.00807,"4,873",1.70,bisoswap.com
DEPD BRC,0.000804,"4,877",1.69,unisat.io
